k,f1_mean,f1_std,f1_min,f1_max
1.0,0.5564454545454546,0.051414576992062574,0.4815,0.658
2.0,0.5564454545454546,0.051414576992062574,0.4815,0.658
3.0,0.5626454545454546,0.05657371056659382,0.4875,0.6953
4.0,0.5687272727272727,0.05043366119783673,0.4847,0.6812
5.0,0.5742181818181818,0.05738649350120321,0.4899,0.7013
6.0,0.5717545454545454,0.05782702419520418,0.4802,0.6993
7.0,0.5836727272727272,0.05910852884159936,0.4866,0.7087
8.0,0.5779181818181818,0.06212831589833768,0.4588,0.7052
9.0,0.5783181818181817,0.06298088310244336,0.4867,0.717
10.0,0.577690909090909,0.06118663995588338,0.4848,0.7119
11.0,0.5791363636363637,0.05787004877701889,0.4831,0.7106
12.0,0.5759909090909091,0.06239071172130438,0.4725,0.7181
13.0,0.5785545454545454,0.06931498198277718,0.453,0.7248
14.0,0.5785,0.07460022788168946,0.4459,0.7319
15.0,0.5808272727272727,0.069152166862783,0.4626,0.7307
16.0,0.5778818181818182,0.07215659108053564,0.459,0.7319
17.0,0.5691727272727273,0.07361471443820304,0.4399,0.7119
18.0,0.5686363636363636,0.07776614009615332,0.4237,0.7178
19.0,0.5654272727272727,0.07861779812369576,0.415,0.711
20.0,0.5713909090909092,0.07997856531028116,0.4182,0.7208
25.0,0.5586363636363636,0.08144862519069641,0.4078,0.7157
30.0,0.5569818181818182,0.0868274589998097,0.4028,0.709
