model,approach,k_label,k,f1_macro
Qwen-3B,ragtag_ag,zero_shot,0.0,0.6132
Qwen-3B,ragtag_ag,k1,1.0,0.6851
Qwen-3B,ragtag_ag,k3,3.0,0.6944
Qwen-3B,ragtag_ag,k6,6.0,0.6794
Qwen-3B,ragtag_ag,k9,9.0,0.6701
Qwen-3B,ragtag_ps,k1,1.0,0.6841727272727273
Qwen-3B,ragtag_ps,k3,3.0,0.693890909090909
Qwen-3B,ragtag_ps,k6,6.0,0.6780272727272728
Qwen-3B,ragtag_ps,k9,9.0,0.6726818181818182
Qwen-3B,debias_ps,k1,1.0,0.6754181818181818
Qwen-3B,debias_ps,k3,3.0,0.6930727272727273
Qwen-3B,debias_ps,k6,6.0,0.7089181818181818
Qwen-3B,debias_ps,k9,9.0,0.7041727272727273
Qwen-7B,ragtag_ag,zero_shot,0.0,0.6621
Qwen-7B,ragtag_ag,k1,1.0,0.6811
Qwen-7B,ragtag_ag,k3,3.0,0.7108
Qwen-7B,ragtag_ag,k6,6.0,0.7122
Qwen-7B,ragtag_ag,k9,9.0,0.7042
Qwen-7B,ragtag_ps,k1,1.0,0.6755181818181818
Qwen-7B,ragtag_ps,k3,3.0,0.7089363636363637
Qwen-7B,ragtag_ps,k6,6.0,0.7142272727272727
Qwen-7B,ragtag_ps,k9,9.0,0.7078
Qwen-7B,debias_ps,k1,1.0,0.6658454545454545
Qwen-7B,debias_ps,k3,3.0,0.7071000000000001
Qwen-7B,debias_ps,k6,6.0,0.7299272727272726
Qwen-7B,debias_ps,k9,9.0,0.7279727272727272
Qwen-14B,ragtag_ag,zero_shot,0.0,0.6452
Qwen-14B,ragtag_ag,k1,1.0,0.684
Qwen-14B,ragtag_ag,k3,3.0,0.7117
Qwen-14B,ragtag_ag,k6,6.0,0.7159
Qwen-14B,ragtag_ag,k9,9.0,0.717
Qwen-14B,ragtag_ps,k1,1.0,0.6769
Qwen-14B,ragtag_ps,k3,3.0,0.706
Qwen-14B,ragtag_ps,k6,6.0,0.7104909090909092
Qwen-14B,ragtag_ps,k9,9.0,0.7165181818181818
Qwen-14B,debias_ps,k1,1.0,0.6708272727272727
Qwen-14B,debias_ps,k3,3.0,0.6972454545454545
Qwen-14B,debias_ps,k6,6.0,0.7298545454545454
Qwen-14B,debias_ps,k9,9.0,0.7418363636363636
Qwen-32B,ragtag_ag,zero_shot,0.0,0.6876
Qwen-32B,ragtag_ag,k1,1.0,0.7257
Qwen-32B,ragtag_ag,k3,3.0,0.7553
Qwen-32B,ragtag_ag,k6,6.0,0.754
Qwen-32B,ragtag_ag,k9,9.0,0.7594
Qwen-32B,ragtag_ps,zero_shot,0.0,0.6800636363636363
Qwen-32B,ragtag_ps,k1,1.0,0.7203272727272728
Qwen-32B,ragtag_ps,k3,3.0,0.7510272727272728
Qwen-32B,ragtag_ps,k6,6.0,0.7545000000000001
Qwen-32B,ragtag_ps,k9,9.0,0.7579272727272727
Qwen-32B,debias_ps,k1,1.0,0.7113181818181817
Qwen-32B,debias_ps,k3,3.0,0.7407545454545456
Qwen-32B,debias_ps,k6,6.0,0.7666818181818182
Qwen-32B,debias_ps,k9,9.0,0.7745272727272727
