project,mean,min,max,std
microsoft_TypeScript,0.5732413793103448,0.3212,0.6756,0.07890340621491115
dotnet_roslyn,0.6008586206896552,0.4952,0.6914,0.05870573418841626
microsoft_vscode,0.6147724137931034,0.4174,0.7549,0.09006575731316589
opencv_opencv,0.653848275862069,0.389,0.7812,0.0853442341373605
bitcoin_bitcoin,0.6656137931034484,0.5198,0.7737,0.06391710996136175
ansible_ansible,0.6789551724137932,0.5674,0.8188,0.06598519631709016
tensorflow_tensorflow,0.7039206896551724,0.459,0.812,0.10153798859579018
flutter_flutter,0.7047620689655172,0.579,0.805,0.06863981255069893
facebook_react,0.7489758620689656,0.4889,0.892,0.0815146422218225
kubernetes_kubernetes,0.7593206896551724,0.453,0.8804,0.09692530400597278
dart-lang_sdk,0.7779137931034483,0.6168,0.8767,0.08480462303831053
