pair,n,f1_a_point,f1_a_ci_lo,f1_a_ci_hi,f1_b_point,f1_b_ci_lo,f1_b_ci_hi,delta_point,delta_ci_lo,delta_ci_hi,mcnemar_stat,mcnemar_pvalue,mcnemar_method,n_a_only_correct,n_b_only_correct
H1: Qwen-3B zero-shot (ag) vs VTAG k=9 (ag),3300,0.6131547757147855,0.5972561805670015,0.6294262064105597,0.5984300128389097,0.581679539373338,0.6154765405361189,0.014724762875875763,-0.007332707660344112,0.03662019975223451,5.01605504587156,0.0251133214696874,chi2_continuity,695,613
H2[Qwen-3B]: RAGTAG ag k3 vs VTAG ag k=9,3300,0.6944025720959756,0.67874072884471,0.7094571359419833,0.5984300128389097,0.581679539373338,0.6154765405361189,0.09597255925706583,0.07777676947537049,0.11506370345037975,105.99408866995074,7.395548735726137e-25,chi2_continuity,672,343
H2[Qwen-7B]: RAGTAG ag k6 vs VTAG ag k=9,3300,0.7121846631239702,0.6972102196730042,0.7278799161748514,0.5984300128389097,0.581679539373338,0.6154765405361189,0.11375465028506049,0.09420481162982633,0.13498672382357765,106.14250614250614,6.861887427461039e-25,chi2_continuity,791,430
H2[Qwen-14B]: RAGTAG ag k9 vs VTAG ag k=9,3300,0.7170119149588031,0.701713294103398,0.7324616161233832,0.5984300128389097,0.581679539373338,0.6154765405361189,0.11858190211989339,0.09818595198728507,0.13938969741225066,108.57000828500414,2.0160227210658145e-25,chi2_continuity,785,422
H2[Qwen-32B]: RAGTAG ag k9 vs VTAG ag k=9,3300,0.759356146226487,0.7437952124339289,0.7736813730914206,0.5984300128389097,0.581679539373338,0.6154765405361189,0.16092613338757722,0.14154193068526716,0.1805868507605706,195.1028911564626,2.446558153102918e-44,chi2_continuity,828,348
H3[Qwen-3B]: RAGTAG ag k3 vs FT ag,3300,0.6944025720959756,0.67874072884471,0.7094571359419833,0.6520305062692328,0.6359850435001625,0.6675095685724866,0.0423720658267428,0.02512033480527469,0.060167257578152895,19.006281407035175,1.3028884311944665e-05,chi2_continuity,460,336
H3[Qwen-7B]: RAGTAG ag k6 vs FT ag,3300,0.7121846631239702,0.6972102196730042,0.7278799161748514,0.7411111700618713,0.725604701266385,0.7555330401511444,-0.02892650693790111,-0.04359274111238352,-0.013887346571989579,16.66830065359477,4.451872645692369e-05,chi2_continuity,255,357
H3[Qwen-14B]: RAGTAG ag k9 vs FT ag,3300,0.7170119149588031,0.701713294103398,0.7324616161233832,0.7153824815027766,0.7004345128165258,0.7308050587188495,0.0016294334560265078,-0.01609176205648292,0.019076941882745717,0.009635974304068522,0.9218028633191193,chi2_continuity,465,469
H3[Qwen-32B]: RAGTAG ag k9 vs FT ag,3300,0.759356146226487,0.7437952124339289,0.7736813730914206,0.7462072522149357,0.7317372836581911,0.7619804308796297,0.013148894011551282,-0.002404840517671586,0.026974607489089853,1.3975044563279857,0.23714185320917192,chi2_continuity,266,295
H4[Qwen-3B]: Debias ps k6 vs RAGTAG ps k3,3300,0.7136626101408439,0.6984064116921286,0.7286840532600012,0.6969813937730475,0.6810394264470224,0.7124136620249337,0.016681216367796403,0.0020813001858718374,0.03115928193240026,0.3775167785234899,0.5389352197425115,chi2_continuity,306,290
H4[Qwen-7B]: Debias ps k6 vs RAGTAG ps k6,3300,0.732672840697027,0.7179500725881982,0.7480836920658471,0.7175393898416688,0.7011411488257498,0.7325377133834883,0.015133450855358221,0.004575277172322385,0.024823707944693355,15.314741035856574,9.100359977582548e-05,chi2_continuity,157,94
H4[Qwen-14B]: Debias ps k9 vs RAGTAG ps k9,3300,0.7452554289861336,0.7297191034580541,0.759851316601567,0.7207984287819574,0.7049708579037809,0.7363716170734886,0.024457000204176182,0.015702268380907183,0.033038435932861286,35.754189944134076,2.2385002286068335e-09,chi2_continuity,130,49
H4[Qwen-32B]: Debias ps k9 vs RAGTAG ps k9,3300,0.7769670817296898,0.7621668677795437,0.7905670219170347,0.7613387830119804,0.7465852018250149,0.7752223239417884,0.01562829871770932,0.008432236889417964,0.022695143459541305,24.80666666666667,6.337789150726584e-07,chi2_continuity,106,44
H5[Qwen-3B]: Debias ps k6 vs FT ag,3300,0.7136626101408439,0.6984064116921286,0.7286840532600012,0.6520305062692328,0.6359850435001625,0.6675095685724866,0.06163210387161111,0.0442188467460579,0.08037946131913072,21.1025390625,4.353508985756724e-06,chi2_continuity,586,438
H5[Qwen-7B]: Debias ps k6 vs FT ag,3300,0.732672840697027,0.7179500725881982,0.7480836920658471,0.7411111700618713,0.725604701266385,0.7555330401511444,-0.008438329364844344,-0.02326993615537874,0.007134674553791973,0.8417391304347827,0.3588998519350699,chi2_continuity,276,299
H5[Qwen-14B]: Debias ps k9 vs FT ag,3300,0.7452554289861336,0.7297191034580541,0.759851316601567,0.7153824815027766,0.7004345128165258,0.7308050587188495,0.029872947483357004,0.012506468738575059,0.046339653921574214,8.562217194570136,0.003432111791141816,chi2_continuity,486,398
H5[Qwen-32B]: Debias ps k9 vs FT ag,3300,0.7769670817296898,0.7621668677795437,0.7905670219170347,0.7462072522149357,0.7317372836581911,0.7619804308796297,0.03075982951475409,0.014097144094588617,0.04525017431282262,2.1928934010152283,0.1386486481094937,chi2_continuity,314,277
H6: Qwen-7B FT ag vs Qwen-7B Debias ps k6 (the 7B anomaly),3300,0.7411111700618713,0.725604701266385,0.7555330401511444,0.732672840697027,0.7179500725881982,0.7480836920658471,0.008438329364844344,-0.007134674553791973,0.023269936155378736,0.8417391304347827,0.3588998519350699,chi2_continuity,299,276
