model,k_label,plain_f1_macro,debias_f1_macro,delta_f1_macro,plain_accuracy,debias_accuracy,delta_accuracy,plain_invalid_rate,debias_invalid_rate,delta_invalid_rate,plain_f1_bug,debias_f1_bug,delta_f1_bug,plain_precision_bug,debias_precision_bug,delta_precision_bug,plain_recall_bug,debias_recall_bug,delta_recall_bug,plain_f1_feature,debias_f1_feature,delta_f1_feature,plain_precision_feature,debias_precision_feature,delta_precision_feature,plain_recall_feature,debias_recall_feature,delta_recall_feature,plain_f1_question,debias_f1_question,delta_f1_question,plain_precision_question,debias_precision_question,delta_precision_question,plain_recall_question,debias_recall_question,delta_recall_question
Qwen-3B,k1,0.6841727272727273,0.6754181818181819,-0.008754545454545348,0.6951454545454545,0.681509090909091,-0.013636363636363558,0.002118181818181818,0.002118181818181818,0.0,0.702790909090909,0.6999636363636362,-0.0028272727272727893,0.6372090909090908,0.627490909090909,-0.009718181818181848,0.7945454545454546,0.8054545454545454,0.010909090909090868,0.7896000000000001,0.7702727272727273,-0.01932727272727275,0.7770545454545453,0.8144545454545454,0.0374000000000001,0.8118181818181818,0.739090909090909,-0.07272727272727275,0.5601636363636364,0.5560272727272726,-0.004136363636363827,0.7079636363636364,0.6533818181818183,-0.054581818181818065,0.4790909090909091,0.5,0.020909090909090877
Qwen-3B,k3,0.693890909090909,0.6930727272727272,-0.000818181818181829,0.7030181818181819,0.6963636363636364,-0.0066545454545454685,0.002118181818181818,0.0024181818181818185,0.00030000000000000035,0.7087727272727272,0.6778818181818183,-0.03089090909090897,0.6395272727272727,0.6806181818181818,0.04109090909090907,0.8027272727272727,0.6945454545454545,-0.10818181818181827,0.8021363636363635,0.7914545454545454,-0.010681818181818126,0.7999454545454546,0.8001272727272728,0.0001818181818181719,0.8127272727272726,0.7918181818181819,-0.020909090909090766,0.5708000000000001,0.6099181818181818,0.03911818181818172,0.7084727272727273,0.6449818181818182,-0.06349090909090904,0.4936363636363636,0.6027272727272727,0.10909090909090907
Qwen-3B,k6,0.6780272727272728,0.7089181818181818,0.03089090909090897,0.6781909090909092,0.7078727272727273,0.029681818181818143,0.036381818181818175,0.017881818181818183,-0.018499999999999992,0.6911,0.6815363636363636,-0.00956363636363644,0.6241818181818182,0.7265818181818182,0.10240000000000005,0.7809090909090909,0.6645454545454546,-0.11636363636363634,0.8059000000000001,0.8021545454545455,-0.0037454545454546073,0.8067818181818183,0.7995272727272728,-0.0072545454545455135,0.8127272727272729,0.8127272727272729,0.0,0.5371090909090909,0.6430636363636363,0.10595454545454541,0.7139181818181819,0.6726545454545453,-0.04126363636363661,0.440909090909091,0.6463636363636364,0.2054545454545454
Qwen-3B,k9,0.6726818181818183,0.7041727272727273,0.031490909090909014,0.6712090909090911,0.6987818181818182,0.027572727272727082,0.04424545454545454,0.031818181818181815,-0.012427272727272724,0.6891727272727273,0.673809090909091,-0.015363636363636246,0.6269090909090909,0.7302090909090908,0.10329999999999995,0.7745454545454545,0.6500000000000001,-0.1245454545454544,0.7980454545454546,0.7973636363636363,-0.0006818181818183389,0.795118181818182,0.7887181818181817,-0.006400000000000294,0.8081818181818182,0.8136363636363636,0.005454545454545379,0.5308272727272727,0.6413272727272727,0.11050000000000004,0.7262545454545454,0.6752545454545454,-0.050999999999999934,0.43090909090909085,0.6327272727272728,0.20181818181818195
Qwen-7B,k1,0.6755181818181818,0.6658454545454546,-0.009672727272727166,0.6966545454545454,0.6878818181818181,-0.008772727272727265,0.0009090909090909091,0.0006090909090909091,-0.00030000000000000003,0.7155818181818182,0.7068909090909092,-0.008690909090908971,0.6056636363636364,0.595709090909091,-0.009954545454545438,0.8827272727272727,0.88,-0.0027272727272726893,0.7936090909090908,0.7813909090909091,-0.012218181818181684,0.7878181818181819,0.7917818181818181,0.00396363636363628,0.8109090909090909,0.790909090909091,-0.019999999999999907,0.5173545454545455,0.5092636363636364,-0.008090909090909149,0.8252636363636363,0.8196272727272728,-0.0056363636363635505,0.3963636363636363,0.39272727272727276,-0.0036363636363635488
Qwen-7B,k3,0.7089363636363637,0.7071000000000001,-0.001836363636363636,0.7248454545454547,0.7221272727272727,-0.002718181818181953,0.0009090909090909091,0.0006,-0.00030909090909090914,0.7385999999999999,0.7321636363636365,-0.006436363636363462,0.6366181818181819,0.6347818181818181,-0.001836363636363747,0.8854545454545453,0.8736363636363635,-0.011818181818181728,0.8179727272727273,0.8082363636363638,-0.009736363636363543,0.8059454545454546,0.7984000000000001,-0.007545454545454522,0.84,0.8309090909090909,-0.009090909090909038,0.5701818181818182,0.5809454545454544,0.010763636363636198,0.8413545454545454,0.8417090909090909,0.00035454545454549624,0.44909090909090904,0.46181818181818174,0.012727272727272698
Qwen-7B,k6,0.7142272727272727,0.7299272727272726,0.015699999999999936,0.7151636363636364,0.7342454545454546,0.0190818181818182,0.034554545454545456,0.016063636363636363,-0.018490909090909093,0.7322727272727273,0.7483,0.016027272727272668,0.664309090909091,0.6772454545454546,0.012936363636363635,0.8236363636363635,0.8409090909090909,0.01727272727272744,0.8166181818181819,0.8138090909090908,-0.0028090909090910943,0.7946545454545455,0.794709090909091,5.454545454552928e-05,0.848181818181818,0.8427272727272727,-0.005454545454545379,0.5938181818181819,0.6277090909090909,0.03389090909090897,0.8387000000000001,0.8298363636363636,-0.008863636363636518,0.47363636363636363,0.519090909090909,0.045454545454545414
Qwen-7B,k9,0.7078,0.7279727272727272,0.02017272727272723,0.7054363636363636,0.7245454545454545,0.019109090909090853,0.042736363636363635,0.03060909090909091,-0.012127272727272726,0.7221181818181818,0.7342363636363636,0.012118181818181806,0.6591181818181817,0.6963545454545454,0.037236363636363734,0.8054545454545454,0.7854545454545455,-0.019999999999999907,0.8110363636363637,0.8072545454545456,-0.0037818181818181085,0.7832545454545454,0.7767454545454545,-0.006509090909090909,0.8472727272727275,0.8481818181818184,0.0009090909090908594,0.5902363636363637,0.6424454545454545,0.05220909090909087,0.8452181818181818,0.8167454545454547,-0.028472727272727094,0.4636363636363637,0.5399999999999999,0.07636363636363624
Qwen-14B,k1,0.6769,0.6708272727272727,-0.00607272727272723,0.7030363636363637,0.6972818181818181,-0.005754545454545568,0.0009090909090909091,0.0009090909090909091,0.0,0.7185,0.7063545454545455,-0.01214545454545457,0.6042454545454546,0.5939545454545455,-0.010290909090909128,0.8927272727272727,0.879090909090909,-0.013636363636363669,0.8196636363636365,0.8161454545454546,-0.0035181818181818647,0.8063272727272728,0.8013999999999999,-0.004927272727272891,0.8463636363636362,0.8445454545454546,-0.0018181818181816078,0.49252727272727276,0.4899818181818183,-0.002545454545454462,0.850381818181818,0.8503636363636363,-1.8181818181695064e-05,0.37000000000000005,0.3681818181818182,-0.0018181818181818299
Qwen-14B,k3,0.7060000000000001,0.6972454545454546,-0.00875454545454546,0.7257545454545454,0.7157636363636364,-0.00999090909090905,0.001209090909090909,0.001209090909090909,0.0,0.7366363636363636,0.7202727272727274,-0.016363636363636247,0.6269454545454546,0.6190727272727273,-0.007872727272727253,0.8981818181818183,0.870909090909091,-0.027272727272727337,0.8320363636363638,0.8169090909090908,-0.015127272727272989,0.8281999999999999,0.8061454545454545,-0.022054545454545438,0.8463636363636362,0.8418181818181819,-0.004545454545454297,0.5493363636363636,0.5545636363636363,0.005227272727272636,0.8351363636363637,0.8448545454545453,0.009718181818181626,0.4327272727272727,0.43454545454545457,0.0018181818181818854
Qwen-14B,k6,0.7104909090909092,0.7298545454545454,0.01936363636363625,0.7139545454545455,0.7357545454545454,0.02179999999999993,0.03546363636363637,0.016663636363636363,-0.018800000000000008,0.725809090909091,0.7449363636363636,0.01912727272727266,0.6383090909090909,0.6586727272727273,0.02036363636363636,0.8490909090909092,0.8627272727272726,0.013636363636363336,0.8336181818181818,0.8296,-0.00401818181818181,0.8357272727272729,0.8283272727272727,-0.007400000000000184,0.8418181818181818,0.8418181818181818,0.0,0.5720454545454546,0.6150636363636365,0.043018181818181844,0.8475,0.8414909090909092,-0.006009090909090853,0.450909090909091,0.5027272727272728,0.05181818181818182
Qwen-14B,k9,0.7165181818181818,0.7418363636363636,0.025318181818181795,0.7142454545454545,0.7387999999999999,0.024554545454545385,0.043036363636363636,0.03211818181818182,-0.01091818181818182,0.7282636363636364,0.7476818181818181,0.019418181818181668,0.6451363636363636,0.6818909090909091,0.036754545454545484,0.8418181818181817,0.8336363636363636,-0.008181818181818068,0.833009090909091,0.8337090909090908,0.0006999999999998119,0.8440545454545455,0.8371272727272728,-0.006927272727272671,0.8309090909090909,0.84,0.009090909090909038,0.588309090909091,0.6441090909090909,0.05579999999999985,0.8347181818181819,0.8279545454545453,-0.006763636363636638,0.47,0.5427272727272727,0.07272727272727275
Qwen-32B,k1,0.7203272727272728,0.7113181818181817,-0.009009090909091078,0.7360545454545455,0.7269545454545455,-0.009099999999999997,0.001209090909090909,0.0009090909090909091,-0.0002999999999999999,0.7469636363636364,0.7327909090909092,-0.014172727272727226,0.6447818181818182,0.6379727272727274,-0.006809090909090876,0.8936363636363637,0.8690909090909091,-0.024545454545454537,0.8295727272727274,0.8212363636363637,-0.008336363636363697,0.8252545454545455,0.8059727272727273,-0.019281818181818178,0.8472727272727273,0.8518181818181817,0.004545454545454408,0.5844636363636363,0.5799272727272727,-0.004536363636363561,0.8567818181818182,0.8566000000000001,-0.00018181818181806086,0.4672727272727272,0.45999999999999996,-0.0072727272727272085
Qwen-32B,k3,0.7510272727272728,0.7407545454545456,-0.010272727272727211,0.7612181818181818,0.7515000000000001,-0.009718181818181737,0.0024272727272727276,0.002118181818181818,-0.00030909090909090947,0.7644090909090909,0.7515181818181819,-0.012890909090909064,0.6729636363636364,0.6721454545454546,-0.000818181818181829,0.8899999999999999,0.8618181818181818,-0.028181818181818086,0.8408181818181819,0.8303,-0.010518181818181871,0.8399,0.8171909090909092,-0.02270909090909079,0.8518181818181819,0.8581818181818183,0.006363636363636349,0.6478454545454545,0.6404818181818183,-0.007363636363636239,0.8614272727272727,0.8550545454545454,-0.006372727272727308,0.5418181818181818,0.5345454545454544,-0.0072727272727273196
Qwen-32B,k6,0.7544999999999998,0.7666818181818182,0.012181818181818405,0.7484818181818181,0.7666636363636363,0.018181818181818188,0.03607272727272727,0.017272727272727273,-0.018799999999999997,0.7551636363636363,0.7712,0.016036363636363737,0.6910272727272727,0.7056727272727273,0.014645454545454628,0.8390909090909091,0.8554545454545455,0.016363636363636358,0.8412545454545453,0.8434909090909092,0.002236363636363925,0.8511363636363637,0.8473545454545455,-0.0037818181818182195,0.8409090909090909,0.8490909090909091,0.008181818181818179,0.667,0.6853545454545454,0.0183545454545454,0.8466090909090909,0.8386636363636364,-0.007945454545454478,0.5654545454545455,0.5954545454545455,0.029999999999999916
Qwen-32B,k9,0.7579272727272727,0.7745272727272727,0.01660000000000006,0.7475818181818181,0.7663818181818182,0.01880000000000004,0.04485454545454545,0.033036363636363635,-0.011818181818181818,0.7544909090909091,0.7754272727272727,0.020936363636363642,0.6977636363636364,0.7329909090909091,0.035227272727272774,0.8281818181818181,0.8300000000000001,0.001818181818181941,0.8410272727272727,0.8405181818181817,-0.0005090909090910145,0.8571727272727273,0.8541090909090908,-0.0030636363636364905,0.8336363636363636,0.8363636363636364,0.0027272727272728003,0.6782363636363636,0.7076727272727273,0.029436363636363705,0.8458272727272728,0.8243818181818181,-0.021445454545454656,0.5809090909090909,0.6327272727272727,0.05181818181818176
