model,project,debias_best_ps,ft_ag,ft_ps,deb_minus_ft_ag,deb_minus_ft_ps
Qwen-3B,ansible_ansible,0.7065,0.652,0.7662,0.05449999999999999,-0.059699999999999975
Qwen-3B,bitcoin_bitcoin,0.7091,0.652,0.5418,0.05709999999999993,0.1673
Qwen-3B,dart-lang_sdk,0.7776,0.652,0.6168,0.12559999999999993,0.16079999999999994
Qwen-3B,dotnet_roslyn,0.6236,0.652,0.5071,-0.02839999999999998,0.11650000000000005
Qwen-3B,facebook_react,0.7569,0.652,0.77,0.1049,-0.0131
Qwen-3B,flutter_flutter,0.7153,0.652,0.59,0.06330000000000002,0.12530000000000008
Qwen-3B,kubernetes_kubernetes,0.8467,0.652,0.5933,0.19469999999999998,0.25339999999999996
Qwen-3B,microsoft_TypeScript,0.6128,0.652,0.4117,-0.03920000000000001,0.2011
Qwen-3B,microsoft_vscode,0.6391,0.652,0.4174,-0.012900000000000023,0.2217
Qwen-3B,opencv_opencv,0.7336,0.652,0.5353,0.0816,0.19830000000000003
Qwen-3B,tensorflow_tensorflow,0.7482,0.652,0.5801,0.09619999999999995,0.16810000000000003
Qwen-7B,ansible_ansible,0.7153,0.7411,0.6871,-0.025799999999999934,0.028200000000000003
Qwen-7B,bitcoin_bitcoin,0.7507,0.7411,0.5198,0.009600000000000053,0.2309
Qwen-7B,dart-lang_sdk,0.8153,0.7411,0.6944,0.07420000000000004,0.12090000000000001
Qwen-7B,dotnet_roslyn,0.6605,0.7411,0.5115,-0.0806,0.14900000000000002
Qwen-7B,facebook_react,0.7885,0.7411,0.4889,0.0474,0.2996
Qwen-7B,flutter_flutter,0.7738,0.7411,0.5882,0.03270000000000006,0.1856000000000001
Qwen-7B,kubernetes_kubernetes,0.8378,0.7411,0.453,0.09670000000000001,0.3848
Qwen-7B,microsoft_TypeScript,0.6123,0.7411,0.3212,-0.12880000000000003,0.29109999999999997
Qwen-7B,microsoft_vscode,0.6609,0.7411,0.5127,-0.08019999999999994,0.1482
Qwen-7B,opencv_opencv,0.7159,0.7411,0.389,-0.0252,0.32689999999999997
Qwen-7B,tensorflow_tensorflow,0.7698,0.7411,0.459,0.02870000000000006,0.3108
Qwen-14B,ansible_ansible,0.6946,0.7154,0.7683,-0.02080000000000004,-0.07369999999999999
Qwen-14B,bitcoin_bitcoin,0.731,0.7154,0.5962,0.015599999999999947,0.13480000000000003
Qwen-14B,dart-lang_sdk,0.8493,0.7154,0.7228,0.13390000000000002,0.12650000000000006
Qwen-14B,dotnet_roslyn,0.6683,0.7154,0.5244,-0.04710000000000003,0.14390000000000003
Qwen-14B,facebook_react,0.808,0.7154,0.7179,0.09260000000000002,0.09010000000000007
Qwen-14B,flutter_flutter,0.7701,0.7154,0.6914,0.05469999999999997,0.07869999999999999
Qwen-14B,kubernetes_kubernetes,0.8585,0.7154,0.7268,0.1431,0.13170000000000004
Qwen-14B,microsoft_TypeScript,0.6434,0.7154,0.4339,-0.07200000000000006,0.20949999999999996
Qwen-14B,microsoft_vscode,0.7004,0.7154,0.557,-0.015000000000000013,0.14339999999999997
Qwen-14B,opencv_opencv,0.7087,0.7154,0.5185,-0.006700000000000039,0.19020000000000004
Qwen-14B,tensorflow_tensorflow,0.7734,0.7154,0.7455,0.05799999999999994,0.027899999999999925
Qwen-32B,ansible_ansible,0.7345,0.7462,0.8188,-0.011699999999999933,-0.08429999999999993
Qwen-32B,bitcoin_bitcoin,0.7737,0.7462,0.699,0.02750000000000008,0.0747000000000001
Qwen-32B,dart-lang_sdk,0.8708,0.7462,0.8767,0.12460000000000004,-0.005900000000000016
Qwen-32B,dotnet_roslyn,0.6771,0.7462,0.6275,-0.06909999999999994,0.04960000000000009
Qwen-32B,facebook_react,0.8213,0.7462,0.7875,0.07510000000000006,0.03380000000000005
Qwen-32B,flutter_flutter,0.7934,0.7462,0.7586,0.04720000000000002,0.03479999999999994
Qwen-32B,kubernetes_kubernetes,0.8804,0.7462,0.662,0.13419999999999999,0.21839999999999993
Qwen-32B,microsoft_TypeScript,0.6756,0.7462,0.6037,-0.0706,0.07189999999999996
Qwen-32B,microsoft_vscode,0.7549,0.7462,0.5859,0.008700000000000041,0.16900000000000004
Qwen-32B,opencv_opencv,0.7812,0.7462,0.6313,0.03500000000000003,0.14990000000000003
Qwen-32B,tensorflow_tensorflow,0.7981,0.7462,0.7923,0.05190000000000006,0.005800000000000027
